"Model","Duration","Dose","Dataset","Platform","Gene","Value","Value.adj","High Quality"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","STAT3","1.092","5.875","False"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","UBD","1.091","5.871","False"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","JKAMP","1.091","5.870","False"
"Macrophage","","","GSE8515","MicroArray","ZEB2","-0.809","-5.869","True"
"Mda-Mb415","4d","","GSE54329","MicroArray","CDC6","-1.129","-5.868","False"
"Ovarian Cancer","","","GSE20272","MicroArray","STAT2","-1.091","-5.868","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","HMMR","-2.121","-5.868","True"
"Huh7","","","E-MTAB-4570","MicroArray","NFKBIZ","1.492","5.866","True"
"Multiple Myeloma","6h","10ng/mL","GSE115558","MicroArray","CCDC63","1.985","5.866","True"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","CINP","-1.090","-5.864","False"
"Bt474","5d","","GSE54329","MicroArray","CITED2","0.998","5.863","True"
"Efm19","5d","","GSE54329","MicroArray","RNASE4","1.281","5.863","True"
"Mda Pca2B","18h","5ng/mL","GSE47973","MicroArray","ELF3","0.809","5.861","True"
"Hepg2","4h","20ng/mL","GSE14632","MicroArray","ALB","-0.829","-5.859","False"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","GBP2","1.792","5.858","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","CMAHP","1.830","5.858","True"
"Hepg2","2h","20ng/mL","GSE14632","MicroArray","RPS25","-0.833","-5.857","False"
"Multiple Myeloma","6h","10ng/mL","GSE115558","MicroArray","CCL2","1.982","5.857","True"
"Efm19","4d","","GSE54329","MicroArray","ADH1C","0.822","5.854","True"
"Mda-Mb415","4d","","GSE54329","MicroArray","CENPK","-1.126","-5.854","False"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","NAMPT","1.807","5.853","True"
"T Cd4Cd25-","24h","10ng/mL","GSE78922","RNASeq","SELL","3.726","5.852","False"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","SPRR3","1.607","5.852","True"
"Efm19","6d","","GSE54329","MicroArray","LRRC31","-0.917","-5.851","True"
"T Cd4","3d","","GSE65621","RNASeq","CCL22","-1.123","-5.850","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","OIP5","-1.827","-5.847","True"
"Thp1 Macrophage","2h","50ng/mL","GSE126525","MicroArray","YTHDC1","2.706","5.844","True"
"Mda-Mb134Vi","6d","","GSE54329","MicroArray","S100A8","0.995","5.844","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","RSAD2","1.604","5.842","True"
"Mda Pca2B","18h","5ng/mL","GSE47973","MicroArray","RNF148","0.806","5.842","True"
"Bt483","6d","","GSE54329","MicroArray","LCN2","1.745","5.842","True"
"Bt483","4d","","GSE54329","MicroArray","FBXO9","3.205","5.841","False"
"Hepg2","1h","10ng/mL","GSE4885","MicroArray","ID2","-1.112","-5.841","False"
"Efm19","5d","","GSE54329","MicroArray","NFKBIZ","1.275","5.837","True"
"Bt483","6d","","GSE54329","MicroArray","GLRX","1.743","5.836","True"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","HYLS1","1.085","5.835","False"
"Mda-Mb134Vi","5d","","GSE54329","MicroArray","TTC6","-1.058","-5.835","True"
"Huh7","","","E-MTAB-4570","MicroArray","SULT2A1","-1.483","-5.831","True"
"Hmec1","","","GSE19082","MicroArray","IL6","0.494","5.828","True"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","DEPP1","0.536","5.827","True"
"Mda-Mb415","4d","","GSE54329","MicroArray","ATAD2","-1.121","-5.825","False"
"Macrophage","","","GSE8515","MicroArray","COMMD8","-0.803","-5.824","True"
"Macrophage","","","GSE123603","RNASeq","MMP8","0.979","5.824","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","SBSN","1.599","5.821","True"
"Zr751","5d","","GSE54329","MicroArray","TMC5","1.337","5.820","True"
"Hepg2","","","E-MTAB-4570","MicroArray","HMGCR","-1.289","-5.819","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","RDH10","2.039","5.816","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","CEP55","-1.796","-5.816","True"
"Mcf7","5d","","GSE54329","MicroArray","CSTA","0.981","5.816","True"
"Hipsc-Derived Astrocyte","","","GSE120411","RNASeq","CEBPD","0.328","5.815","False"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","MSRB1","1.223","5.814","True"
"Hipsc-Derived Astrocyte","","","GSE120411","RNASeq","CXCL10","-0.328","-5.814","False"
"T47D","5d","","GSE54329","MicroArray","TFF3","-1.366","-5.811","True"
"T Cd4","3d","","GSE65621","RNASeq","TRIM22","-1.116","-5.809","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","PCK2","-1.595","-5.807","True"
"Huh7","","","E-MTAB-4570","MicroArray","PARP14","1.477","5.807","True"
"Hepg2","4h","20ng/mL","GSE14632","MicroArray","AHSG","-0.822","-5.805","False"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","CLIC6","2.098","5.805","True"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","GPX2","0.534","5.804","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","STMN1","-2.097","-5.801","True"
"T47D","5d","","GSE54329","MicroArray","MRPL20","1.363","5.798","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","NCCRP1","1.790","5.797","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","ETS2","1.773","5.796","True"
"Bt483","5d","","GSE54329","MicroArray","PSMB8","1.842","5.796","True"
"Bt483","4d","","GSE54329","MicroArray","TSPAN1","3.178","5.793","False"
"Bt483","6d","","GSE54329","MicroArray","HLA-DRB1","1.730","5.791","True"
"Huh7","","","E-MTAB-4570","MicroArray","HPX","1.473","5.791","True"
"Ovarian Cancer","","","GSE20272","MicroArray","MET","-1.077","-5.790","True"
"T47D","4d","","GSE54329","MicroArray","IFITM3","1.851","5.785","True"
"Macrophage","","","GSE123603","RNASeq","BCL3","0.972","5.783","True"
"Bt474","5d","","GSE54329","MicroArray","ISG20","0.984","5.782","True"
"Multiple Myeloma","6h","10ng/mL","GSE115558","MicroArray","OR51M1","-1.956","-5.781","True"
"Hepg2","","","E-MTAB-4570","MicroArray","SERPINA6","-1.280","-5.781","True"
"Hep3B","","","E-MTAB-4570","MicroArray","DPYD","1.195","5.778","True"
"Thp1 Macrophage","2h","50ng/mL","GSE126525","MicroArray","COX6A1","-2.673","-5.772","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","CALB1","1.585","5.770","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","S100A9","1.765","5.770","True"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","CCDC149","1.073","5.769","False"
"Multiple Myeloma","6h","10ng/mL","GSE115558","MicroArray","POU3F2","-1.952","-5.768","True"
"Huh7","","","E-MTAB-4570","MicroArray","ANXA1","-1.467","-5.767","True"
"Zr751","4d","","GSE54329","MicroArray","GALNT18","0.986","5.766","True"
"T47D","5d","","GSE54329","MicroArray","STOM","1.355","5.764","True"
"Macrophage","","","GSE123603","RNASeq","MMP7","0.969","5.762","True"
"Hepg2","8h","20ng/mL","GSE14632","MicroArray","RPL11","-0.786","-5.762","False"
"Bt474","5d","","GSE54329","MicroArray","SCIN","0.980","5.761","True"
"Zr751","4d","","GSE54329","MicroArray","MXRA5","0.985","5.761","True"
"T47D","5d","","GSE54329","MicroArray","CFL1","1.354","5.759","True"
"Bt483","4d","","GSE54329","MicroArray","MT1X","-3.160","-5.759","False"
"Mda-Mb134Vi","6d","","GSE54329","MicroArray","TSPAN33","-0.981","-5.758","True"
"T47D","5d","","GSE54329","MicroArray","TEX14","-1.354","-5.758","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","OAS1","1.580","5.755","True"
"Multiple Myeloma","12h","10ng/mL","GSE115558","MicroArray","C2CD4A","2.664","5.755","False"
"T47D","4d","","GSE54329","MicroArray","LRRN3","-1.841","-5.754","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","MMP12","-1.210","-5.753","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","PTX3","-1.580","-5.753","True"
"Hepg2","","","E-MTAB-4570","MicroArray","SERPINA4","-1.274","-5.751","True"
"Zr751","5d","","GSE54329","MicroArray","KMO","1.321","5.750","True"
"Hepg2","1h","10ng/mL","GSE4885","MicroArray","RSL1D1","-1.094","-5.750","False"
"T47D","5d","","GSE54329","MicroArray","ALDOC","1.351","5.747","True"
"Multiple Myeloma","6h","10ng/mL","GSE115558","MicroArray","EGR1","1.945","5.747","True"
"Mcf7","4d","","GSE54329","MicroArray","RPL29","-7.690","-5.746","True"
"Thp1 Macrophage","2h","50ng/mL","GSE126525","MicroArray","SERPINB4","2.660","5.745","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","MYEOV","-1.757","-5.745","True"
"T47D","6d","","GSE54329","MicroArray","CCDC85A","-0.925","-5.743","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","TPX2","-1.794","-5.742","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","AURKA","-2.076","-5.742","True"
"Mcf7","5d","","GSE54329","MicroArray","CMTM7","0.969","5.742","True"
"Hipsc-Derived Astrocyte","","","GSE120411","RNASeq","NKAIN3","0.324","5.741","False"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","POLB","1.756","5.741","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","NDC80","-2.013","-5.741","True"
"Zr751","4d","","GSE54329","MicroArray","KRT32","0.981","5.740","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","TYRP1","-1.794","-5.740","True"
"Mcf7","4d","","GSE54329","MicroArray","ATF4","-7.681","-5.739","True"
"Dendritic","12h","","GSE45466","MicroArray","MYO1G","0.472","5.738","False"
"Mcf7","4d","","GSE54329","MicroArray","RPL14","-7.678","-5.736","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","MND1","-2.011","-5.736","True"
"Efm19","6d","","GSE54329","MicroArray","SUSD3","0.899","5.735","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","NOSTRIN","-1.206","-5.735","True"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","PKP4","1.066","5.734","False"
"Hep3B","","","E-MTAB-4570","MicroArray","C6","1.186","5.733","True"
"Mcf7","6d","","GSE54329","MicroArray","MROH6","-0.954","-5.731","True"
"Hcc1428","6d","","GSE54329","MicroArray","NECAB1","1.114","5.729","True"
"Zr751","5d","","GSE54329","MicroArray","SLPI","1.315","5.724","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","GLUL","1.204","5.723","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","NEURL1B","-1.766","-5.721","True"
"Hepg2","8h","20ng/mL","GSE14632","MicroArray","TF","-0.781","-5.721","False"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","MAST2","1.063","5.720","False"
"Mda-Mb415","6d","","GSE54329","MicroArray","CDH3","1.787","5.719","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","PSG6","-1.277","-5.716","False"
"Mda-Mb134Vi","4d","","GSE54329","MicroArray","PCP2","-1.153","-5.716","True"
"Efm19","5d","","GSE54329","MicroArray","ADH1C","1.249","5.716","True"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","BAMBI","0.525","5.716","True"
"Efm19","6d","","GSE54329","MicroArray","FHL2","0.896","5.716","True"
"Multiple Myeloma","6h","10ng/mL","GSE115558","MicroArray","ECT2L","1.934","5.716","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","TINAGL1","1.277","5.715","False"
"Mda-Mb415","5d","","GSE54329","MicroArray","TNFSF10","2.003","5.714","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","TOP2A","-2.065","-5.714","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","STMN1","-2.002","-5.712","True"
"Bt483","4d","","GSE54329","MicroArray","SUSD3","3.133","5.710","False"
"Hepg2","2h","20ng/mL","GSE14632","MicroArray","NDUFAB1","-0.812","-5.709","False"
"Bt474","5d","","GSE54329","MicroArray","AKR1B10","0.971","5.709","True"
"Mcf7","4d","","GSE54329","MicroArray","NEDD8","-7.639","-5.708","True"
"Efm19","4d","","GSE54329","MicroArray","TNNC1","-0.801","-5.707","True"
"Hepg2","1h","10ng/mL","GSE4885","MicroArray","SPRY1","-1.086","-5.706","False"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","NUSAP1","-1.761","-5.704","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","CENPF","-1.782","-5.704","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","ADRA2C","-1.782","-5.701","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","CYTL1","-1.274","-5.701","False"
"Multiple Myeloma","6h","10ng/mL","GSE115558","MicroArray","LGI2","-1.929","-5.699","True"
"Hep3B","","","E-MTAB-4570","MicroArray","UCA1","1.179","5.698","True"
"Hepg2","2h","20ng/mL","GSE14632","MicroArray","TUBA1B","-0.810","-5.695","False"
"Hepg2","1h","10ng/mL","GSE4885","MicroArray","FOS","1.084","5.694","False"
"T47D","5d","","GSE54329","MicroArray","PKM","1.339","5.694","True"
"Bt474","5d","","GSE54329","MicroArray","DDIT3","0.969","5.693","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","FAM89A","-1.272","-5.693","False"
"Hmec1","","","GSE19082","MicroArray","IER3","0.483","5.691","True"
"Mcf7","5d","","GSE54329","MicroArray","NFKBIZ","0.960","5.688","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","SOCS2","1.196","5.687","True"
"Mda-Mb134Vi","5d","","GSE54329","MicroArray","IFITM2","1.031","5.687","True"
"Bt474","6d","","GSE54329","MicroArray","PLA2G2A","-1.081","-5.685","True"
"Hepg2","","","E-MTAB-4570","MicroArray","ITGA2","1.259","5.685","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","CXCL14","-1.776","-5.684","True"
"Bt474","6d","","GSE54329","MicroArray","MUC1","1.081","5.683","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","ACKR3","-1.195","-5.682","True"
"Hipsc-Derived Astrocyte","","","GSE120411","RNASeq","GLTPD2","-0.320","-5.679","False"
"Hepg2","8h","20ng/mL","GSE14632","MicroArray","NDUFAB1","-0.775","-5.679","False"
"Hep3B","","","E-MTAB-4570","MicroArray","PPARGC1A","1.174","5.675","True"
"T47D","5d","","GSE54329","MicroArray","H2AC6","1.334","5.675","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","PSMB10","1.989","5.674","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","ANLN","-1.752","-5.673","True"
"Hepg2","1h","10ng/mL","GSE4885","MicroArray","ERG28","1.080","5.672","False"
"T Cd4","3d","","GSE65621","RNASeq","S100A6","1.089","5.672","True"
"Mcf7","4d","","GSE54329","MicroArray","H2AX","-7.591","-5.672","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","BUB1B","-1.772","-5.671","True"
"Huh7","","","E-MTAB-4570","MicroArray","VNN2","1.442","5.669","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","FAM162B","1.266","5.666","False"
"Prostate Fibroblast","","","GSE68164","MicroArray","DEPP1","1.266","5.665","False"
"T47D","5d","","GSE54329","MicroArray","C9orf16","1.331","5.663","True"
"Mda Pca2B","18h","5ng/mL","GSE47973","MicroArray","ITGA2","0.781","5.661","True"
"Hepg2","8h","20ng/mL","GSE14632","MicroArray","TMSB10","-0.773","-5.660","False"
"Mcf7","5d","","GSE54329","MicroArray","PSMC2","0.954","5.656","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","GGH","-1.982","-5.654","True"
"Zr751","5d","","GSE54329","MicroArray","TGFBI","-1.299","-5.653","True"
"Hcc1428","4d","","GSE54329","MicroArray","CLCA2","0.937","5.653","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","KIFC1","-1.745","-5.652","True"
"Huh7","","","E-MTAB-4570","MicroArray","APOL6","1.437","5.651","True"
"Mcf7","4d","","GSE54329","MicroArray","YBX1","-7.562","-5.650","True"
"Bt483","4d","","GSE54329","MicroArray","ITGB5","3.100","5.650","False"
"Mda-Mb134Vi","5d","","GSE54329","MicroArray","S100A8","1.024","5.649","True"
"Hep3B","","","E-MTAB-4570","MicroArray","PPP1R3C","1.169","5.649","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","STOX2","-1.262","-5.648","False"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","CEP55","-2.040","-5.645","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","IL24","1.549","5.642","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","BIRC3","1.726","5.642","True"
"Hepg2","4h","20ng/mL","GSE14632","MicroArray","OSGIN1","0.798","5.642","False"
"Prostate Fibroblast","","","GSE68164","MicroArray","FGF9","1.260","5.641","False"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","PDCD5","1.049","5.641","False"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","S100A9","2.039","5.640","True"
"Ovarian Cancer","","","GSE20272","MicroArray","MORF4L2","-1.049","-5.640","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","C3orf70","-1.259","-5.637","False"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","LRG1","1.724","5.636","True"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","MT1X","0.518","5.635","True"
"Hep3B","","","E-MTAB-4570","MicroArray","C1R","1.166","5.634","True"
"Bt474","5d","","GSE54329","MicroArray","RDH10","0.958","5.633","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","SLC30A1","1.185","5.631","True"
"Hepg2","4h","10ng/mL","GSE4885","MicroArray","B3GNT2","-1.081","-5.629","False"
"T Cd4","3d","","GSE65621","RNASeq","KISS1R","1.080","5.625","True"
"Bt474","6d","","GSE54329","MicroArray","BANF1","-1.070","-5.625","True"
"Bt474","4d","","GSE54329","MicroArray","RAB32","0.965","5.624","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","GINS2","-2.032","-5.622","True"
"Hcc1428","5d","","GSE54329","MicroArray","IL13RA1","1.009","5.620","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","GCA","1.543","5.620","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","NEURL1B","-1.719","-5.619","True"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","CEBPD","1.182","5.618","True"
"T47D","5d","","GSE54329","MicroArray","SPAG4","1.320","5.617","True"
"Mcf7","4d","","GSE54329","MicroArray","LXN","-7.517","-5.616","True"
"Mda Pca2B","18h","5ng/mL","GSE47973","MicroArray","GPR137C","0.775","5.616","True"
"Multiple Myeloma","6h","10ng/mL","GSE115558","MicroArray","PCK1","1.900","5.615","True"
"Hcc1428","6d","","GSE54329","MicroArray","PLAAT4","1.092","5.615","True"
"Zr751","4d","","GSE54329","MicroArray","FAM210A","0.960","5.615","True"
"Bt483","4d","","GSE54329","MicroArray","ANXA9","3.078","5.609","False"
"Mcf7","4d","","GSE54329","MicroArray","RPL10A","-7.507","-5.609","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","PKIB","1.540","5.608","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","CHAD","-1.731","-5.607","True"
"Hep3B","","","E-MTAB-4570","MicroArray","CLMN","1.160","5.606","True"
"T Cd4","3d","","GSE65621","RNASeq","POU2AF1","1.076","5.605","True"
"Huh7","","","E-MTAB-4570","MicroArray","AGT","1.425","5.604","True"
"Hcc1428","4d","","GSE54329","MicroArray","BFSP2","0.929","5.604","True"
"Hep3B","","","E-MTAB-4570","MicroArray","SPRY1","-1.159","-5.603","True"
"Bt483","5d","","GSE54329","MicroArray","MXRA5","1.781","5.602","True"
"Bt483","4d","","GSE54329","MicroArray","SELENBP1","3.074","5.602","False"
"Bt474","5d","","GSE54329","MicroArray","NTN4","0.953","5.601","True"
"Ovarian Cancer","","","GSE20272","MicroArray","ANKRD36B","-1.042","-5.601","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","LCP1","1.538","5.600","True"
"Hepg2","2h","20ng/mL","GSE14632","MicroArray","RPL27A","-0.797","-5.599","False"
"Prostate Fibroblast","","","GSE68164","MicroArray","CXCL1","-1.251","-5.599","False"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","OSGIN1","0.515","5.599","True"
"Hepg2","","","E-MTAB-4570","MicroArray","UBASH3B","1.240","5.598","True"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","GAS5","1.041","5.598","False"
"T47D","5d","","GSE54329","MicroArray","CST3","1.316","5.597","True"
"T Cd4","3d","","GSE65621","RNASeq","ZNRF1","1.075","5.597","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","ARL9","1.712","5.597","True"
"Multiple Myeloma","12h","10ng/mL","GSE115558","MicroArray","COL1A1","-2.590","-5.595","False"
"Efm19","4d","","GSE54329","MicroArray","SGTB","0.785","5.593","True"
"Multiple Myeloma","6h","10ng/mL","GSE115558","MicroArray","SNTG2","1.892","5.591","True"
"Hepg2","","","E-MTAB-4570","MicroArray","LRG1","1.238","5.590","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","PSMB9","1.726","5.589","True"
"Hipsc-Derived Astrocyte","","","GSE120411","RNASeq","GNG5","-0.315","-5.587","False"
"Multiple Myeloma","12h","10ng/mL","GSE115558","MicroArray","DCN","-2.586","-5.586","False"
"Mda Pca2B","18h","5ng/mL","GSE47973","MicroArray","THBD","0.771","5.586","True"
"Thp1 Macrophage","2h","50ng/mL","GSE126525","MicroArray","ADORA2A","2.585","5.583","True"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","SAE1","-1.038","-5.583","False"
"Bt483","4d","","GSE54329","MicroArray","SCUBE2","3.063","5.583","False"
"Mda Pca2B","18h","5ng/mL","GSE47973","MicroArray","LURAP1L","0.770","5.581","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","CCNA2","-2.017","-5.579","True"
"T Cd4","3d","","GSE65621","RNASeq","GBP4","-1.071","-5.578","True"
"Bt474","4d","","GSE54329","MicroArray","FABP5","-0.957","-5.576","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","IL20","1.531","5.576","True"
"Hepg2","","","E-MTAB-4570","MicroArray","ENPP2","-1.234","-5.573","True"
"T47D","5d","","GSE54329","MicroArray","PLAAT4","1.310","5.572","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","IFITM2","1.741","5.572","True"
"T47D","6d","","GSE54329","MicroArray","ZNF107","0.897","5.572","True"
"T47D","6d","","GSE54329","MicroArray","DUSP4","-0.897","-5.571","True"
"Huh7","","","E-MTAB-4570","MicroArray","PARP9","1.417","5.570","True"
"Zr751","5d","","GSE54329","MicroArray","LRG1","1.280","5.570","True"
"Ovarian Cancer","","","GSE20272","MicroArray","SMIM14","-1.036","-5.569","True"
"Hepg2","1h","20ng/mL","GSE14632","MicroArray","FGA","0.512","5.569","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","RASL11B","-1.244","-5.567","False"
"Lncap","18h","5ng/mL","GSE47973","MicroArray","RMI2","-1.170","-5.564","True"
"Hcc1428","6d","","GSE54329","MicroArray","DSG2","1.082","5.564","True"
"Macrophage","","","GSE123603","RNASeq","STAT3","0.935","5.562","True"
"Mcf7","4d","","GSE54329","MicroArray","PRDX1","-7.444","-5.562","True"
"Mda-Mb415","4d","","GSE54329","MicroArray","AKR1C1","-1.070","-5.562","False"
"Multiple Myeloma Cells","1h","","GSE29793","MicroArray","TOR3A","1.034","5.560","False"
"Bt483","6d","","GSE54329","MicroArray","HSPA6","1.660","5.559","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","PITPNC1","1.737","5.558","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","PMP22","1.700","5.556","True"
"Zr751","4d","","GSE54329","MicroArray","STC1","0.949","5.553","True"
"Hepg2","","","E-MTAB-4570","MicroArray","C5","1.230","5.553","True"
"Multiple Myeloma","6h","10ng/mL","GSE115558","MicroArray","DNAJC5G","-1.879","-5.552","True"
"Hepg2","4h","20ng/mL","GSE14632","MicroArray","RPL5","-0.786","-5.552","False"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","GBP2","1.714","5.551","True"
"Hep3B","","","E-MTAB-4570","MicroArray","MBL2","1.148","5.548","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","IGF2","-1.240","-5.548","False"
"Mcf7","5d","","GSE54329","MicroArray","TFDP1","-0.936","-5.548","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","MUC5B","1.945","5.547","True"
"Hep3B","","","E-MTAB-4570","MicroArray","SERINC5","1.147","5.546","True"
"Ovarian Cancer","","","GSE20272","MicroArray","LNPEP","-1.031","-5.546","True"
"Mda-Mb415","6d","","GSE54329","MicroArray","HPDL","-1.733","-5.546","True"
"Bt483","4d","","GSE54329","MicroArray","OAT","3.042","5.544","False"
"Ovarian Cancer","","","GSE20272","MicroArray","NFAT5","-1.030","-5.540","True"
"Mda-Mb175-Viidsred","6d","","GSE54329","MicroArray","TUBB3","1.694","5.538","True"
"T Cd4Cd25-","24h","10ng/mL","GSE78922","RNASeq","JCHAIN","-3.526","-5.538","False"
"Zr751","4d","","GSE54329","MicroArray","STC2","0.946","5.538","True"
"Ovarian Cancer","","","GSE20272","MicroArray","DNAJC14","-1.030","-5.536","True"
"Hepg2","2h","20ng/mL","GSE14632","MicroArray","TMSB10","-0.787","-5.533","False"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","DLGAP5","-1.708","-5.533","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","ANLN","-1.999","-5.531","True"
"Hep3B","","","E-MTAB-4570","MicroArray","KRT23","-1.144","-5.531","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","LINC00520","1.519","5.530","True"
"Mcf7","4d","","GSE54329","MicroArray","GNAS","-7.400","-5.529","True"
"Prostate Fibroblast","","","GSE68164","MicroArray","CDH6","1.235","5.529","False"
"Multiple Myeloma","12h","10ng/mL","GSE115558","MicroArray","BCL6","2.560","5.529","False"
"T47D","5d","","GSE54329","MicroArray","SERPINA1","1.300","5.529","True"
"T Cd4","3d","","GSE65621","RNASeq","METRNL","1.062","5.529","True"
"Mda-Mb175-Viidsred","5d","","GSE54329","MicroArray","GADD45G","1.707","5.529","True"
"Mda-Mb415","5d","","GSE54329","MicroArray","DUSP2","-1.938","-5.528","True"
"T Cd4","3d","","GSE65621","RNASeq","HDC","1.062","5.528","True"
"Mda-Mb175-Viidsred","4d","","GSE54329","MicroArray","SHCBP1","-1.998","-5.528","True"
"Dendritic","12h","","GSE45466","MicroArray","TOR3A","-0.454","-5.528","False"
"Hepg2","4h","20ng/mL","GSE14632","MicroArray","FTL","-0.782","-5.527","False"
"Prostate Fibroblast","","","GSE68164","MicroArray","MGP","-1.235","-5.527","False"
"Hipsc-Derived Astrocyte","","","GSE120411","RNASeq","CHAC2","0.311","5.526","False"
"Bt483","4d","","GSE54329","MicroArray","OPN3","3.031","5.525","False"
"Macrophage","","","GSE8515","MicroArray","CSF2RB","0.761","5.524","True"
"Multiple Myeloma","24h","10ng/mL","GSE115558","MicroArray","PARP9","2.939","5.522","False"
"Prostate Fibroblast","","","GSE68164","MicroArray","KISS1","-1.234","-5.522","False"
